,Address,Business_Summary,Country_of_Incorporation,Established_In,Latest_Update,Name,Number_of_Employees,Ownership_Type,Primary_Sector,contacts
82, Saudi Arabia Al Khobar,"Holding company with interests in manufacture of plastic packaging products; ethylenediamine, diethylenetriamine, triethylenetetramine, tetraethylenepentamine, ethyleneamines, aminoethylpiperazine and aminoethylethanolamine; plastic and rubber seals and gaskets; industrial chemicals including antioxidants, polymer additives and non dust blends.",Saudi Arabia,2008," Also known as: Zamil ChemPlast, Zamil ChemPlast Holding, Zamil Chemical & Plastic Holding Company Last updated on: 27 November 2017 ",Zamil Chemical and Plastic Industries Holding Company (dissolved),-,Private,Industrial Manufacturing,
83, Absal Group Building King Abdulaziz Street 2nd Floor Al Rbaiae District 4864 Saudi Arabia Riyadh 11412 ,Provides civil contracting for commercial and residential buildings.,Saudi Arabia,, Also known as: Absal Last updated on: 26 November 2018 ,Absal Investment & Contracting Company ,700,Private,Construction,"Tel: +966 11-200-8855,Fax: +966 11-200-8822,Email: info@absal.com,"
84," Mohamadia Building Tahlia Street 3rd Floor, Office 302 1861 Saudi Arabia Jeddah 21441 ",Provides engineering consultancy services.,Saudi Arabia,2009, Also known as: UTE Last updated on: 28 February 2018 ,Universal Technology & Environmental Company Limited ,120,Private,Construction,"Tel: +966 12-667-7130,Fax: +966 12-665-2393,Email: info@ute-co.com,www.ute-co.com,"
85, Batterjee Holding Company Street 23 1st Floor Industrial City Area 3 28 Saudi Arabia Jeddah 21411 ,"Provides oil and gas well drilling services; provides oilfield services including cementing, well testing, logging and inspection; provides installation of pipelines, rigs and platforms; provides grouting and waterproofing works; distribution of construction chemicals and adhesives; distribution and installation of structural steel structures and admixtures of concrete; provides engineering consultancy services; distribution and installation of non-conventional alternative energy resources, oil and gas equipment and valves. Through its main subsidiaries; it provides manufacture of construction chemicals including waterproofing, flooring, protective coating and epoxy chemicals; manufacture and of pre engineered buildings.",Saudi Arabia,, Last updated on: 25 February 2019 ,Nesma Batterjee Company Limited ,100,Private,Oil and Gas,"Tel: +966 12-607-9488,Tel: +966 12-654-8882,Tel: +966 12-608-4545,Fax: +966 12-607-9391,Fax: +966 12-654-8285,Email: info@nesmabatterjee.com,"
86, 1053 Saudi Arabia Dammam 31431 ,Manufacture of rigid polyurethane chemicals.,Saudi Arabia,1985, Also known as: HAPC Last updated on: 23 August 2018 ,Huntsman APC ,-,Private,Industrial Manufacturing,"Tel: +966 13-821-7777,Fax: +966 13-847-1293,Email: hapc@hapc.com.sa,www.bci.com.sa/?page_id=67,"
87, Kentucky Fried Chicken Building Prince Turki Bin Abdulaziz Road 1st Floor Al Nakheel Area Saudi Arabia Riyadh,Provides travel agency services; public relations services.,Saudi Arabia,2005," Also known as: JTET, Jawlah Last updated on: 29 June 2019 ",Jawlah Tours Company ,20,Private,Leisure and Tourism,"Tel: +966 11-481-6508,Fax: +966 11-263-5286,Email: info@jawlah-tours.com,www.jawlahtours.com,"
88, Al Hijaz Plaza - Jeddah Al Madina Street Al Bawadi District 2768 Saudi Arabia Jeddah 21573 ,"Ownership, operation and management of a shopping mall. Through its main subsidiary; ownership and operation of an amusement park.",Saudi Arabia,1988, Last updated on: 28 February 2019 ,Al Hijaz Plaza - Jeddah ,45,Private,Real Estate,"Tel: +966 12-560-5555,Tel: +966 12-683-2800,Fax: +966 12-669-5115,Fax: +966 12-662-2303,Email: jeddah@alhijazplaza.com,Email: info@hijazmalls.com,"
89, Murabihoon Commercial Center 5 Khurais Road 2nd Floor 230907 Saudi Arabia Riyadh 11321 ,"Develops telecommunications infrastructure; distribution, leasing and installation of generators; maintenance of optical fiber cables; distribution of telecom equipment including grid connected systems and telecommunications repeaters.",Saudi Arabia,2004, Also known as: Space Gulf Last updated on: 31 January 2019 ,Space Gulf Trading Co. Ltd. ,20,Private,Telecommunications,"Tel: +966 11-472-0112,Fax: +966 11-475-6688,Email: info@spacegulf.com.sa,www.spacegulf.com,"
90, Al Majmaah University Building Al Majmaah Area 66 Saudi Arabia Riyadh 11952 ,Ownership and operation of a university.,Saudi Arabia,2009, Also known as: MU Last updated on: 24 August 2018 ,Al Majmaah University ,-,Private,Education,"Tel: +966 16-404-4444,Email: admission@mu.edu.sa,https://www.mu.edu.sa,"
91, Othman Abdul Rahman Usaimi & Company Building Prince Nawaf Street Dammam Industrial City 2 349 Saudi Arabia Dammam 31411 ,"Manufacture of steel sheets, rolls, tubes, pipes and wire mesh.",Saudi Arabia,1970, Also known as: Al Usaimi Last updated on: 31 October 2018 ,Othman Abdul Rahman Usaimi & Company ,1000,Private,Industrial Manufacturing,"Tel: +966 13-832-3164,Tel: +966 13-833-9223,Fax: +966 13-830-5259,Email: info@usaimisteel.com,https://www.usaimisteel.com,"
92, Saudi Arabia Riyadh,"Distributors of steel products such as beams, flat bars, square bars, zinc, pumps, valves and other related steel products.",Saudi Arabia,2002," Also known as: Elaaf, Elaaf Gulf Last updated on: 25 January 2016 ",Elaaf Gulf Trading (dissolved),-,Private,Industrial Manufacturing,
93," King Saud Road, Alhaseen Street Al Fahad District 2700 Saudi Arabia Najran","Authorizing, regulating and licensing of developments and projects in Najran.",Saudi Arabia,1956, Last updated on: 13 February 2019 ,Najran Municipality ,-,Government,Governmental Institutions,"Tel: +966 17-522-3600,Fax: +966 17-522-4274,Email: link@najran.gov.sa,www.najran.gov.sa,"
94, Al Shiha Building Prince Nasser Street 11 Mezzanine Floor Al Adamah Area 1 5038 Saudi Arabia Dammam 31422 ,Provides civil and electromechanical contracting for heavy projects; provides repair and maintenance services. Through its main subsidiaries; it provides human resources services including manpower supply.,Saudi Arabia,1988, Also known as: MARPCO Last updated on: 31 July 2018 ,Mohammed Suleiman Al Rabah and Partner Company ,50,Private,Construction,"Tel: +966 13-827-3114,Fax: +966 13-826-7468,Email: marpco@marpco.com,www.marpco.com,"
95, Al Dahran Building King Khaled Street 1st Floor 1405 Saudi Arabia Al Khobar 31952 ,"Distribution of cooling towers, reactors and dampers; distribution of commercial hardware, industrial and electrical machinery and equipment, pipes, joints, valve and pumps; distribution of agricultural chemicals including castor oil and castor oil based products; provides electromechanical contracting.",Saudi Arabia,1980, Also known as: Al Zamih Last updated on: 29 June 2019 ,Hamad Hadi Al Zamih Trading and Industrial Supplies Establishment ,300,Private,Industrial Manufacturing,"Tel: +966 13-894-4361,Tel: +966 13-894-9170,Tel: +966 13-869-2734,Fax: +966 13-894-1538,Email: info@alzamih.com,www.alzamih.com,"
96, Le Chateau Mall Tahlia Street 2nd Floor 118528 Saudi Arabia Jeddah 21312 ,Holding company with interest in investment in various sectors.,Saudi Arabia,1994, Last updated on: 24 August 2018 ,Al-Murjan Holding ,-,Private,Financial Services,"Tel: +966 12-261-1101,Fax: +966 12-261-1102,Email: info.holding@almurjan.com,www.almurjan.com,"
97, Plynostav Ararbian Ltd. Building Al Amir Satam Ibn Abdulaziz Street 69889 Saudi Arabia Riyadh 11557 ,Provides civil contracting for commercial and residential building projects.,Saudi Arabia,N/A, Also known as: Plynostav Last updated on: 24 February 2019 ,Plynostav Arabian Ltd. ,-,Private,Construction,"Tel: +966 11-212-0606,Fax: +966 11-212-0099,"
98, Ash Shati Building King Abdul Aziz Road Officer 37 Beautat Business Park Saudi Arabia Riyadh 23414 ,"Civil contracting for heavy, commercial and residential projects.",Saudi Arabia,N/A, Last updated on: 27 May 2019 ,Samsung C and T Corporation Saudi Arabia ,-,Private,Construction,"Tel: +966 11-201-2777,"
99, Ministry of Municipalities and Rural Affairs - Saudi Arabia Building Al Olaya Street 955 Saudi Arabia Riyadh Riyadh 11136 ,"Provides administration of the municipalities including city and town planning, development and maintenance of infrastructure, roads, town cleaning and hygiene.",Saudi Arabia,1975, Also known as: MOMRA Last updated on: 06 March 2019 ,Ministry of Municipalities and Rural Affairs - Saudi Arabia ,,Government,Governmental Institutions,"Tel: +966 11-456-9999,Fax: +966 11-456-3196,Email: info@momra.gov.sa,www.momra.gov.sa,"
100, Rawabi Holding Company Building Prince Majed Street 6th Floor Al Shamalia Area 30613 Saudi Arabia Al Khobar 31952 ,Provides oilfield services including drilling and well services.,Saudi Arabia,2011, Also known as: Rawabi Archer Last updated on: 15 October 2018 ,Rawabi Archer Company Limited ,16,Private,Oil and Gas,"Tel: +966 13-859-7030,Fax: +966 13-859-7034,Email: info_archer@rawabiarcher.com,"
101, Saudi Ceramics Building King Fahad Road 7th Floor 300718 Saudi Arabia Riyadh 11372 ,Real estate property investment and development.,Saudi Arabia,2006," Also known as: GRE, Gulf Real Estate Last updated on: 21 August 2018 ",Gulf Real Estate Co. ,28,Private,Real Estate,"Tel: +966 11-464-8210,Fax: +966 11-293-2144,Email: info@gulf-re.com,www.gulf-re.com,"
102, Mansour Abu Sayyef Building Al Dabab Street 5th Floor 8838 Saudi Arabia Riyadh 11492 ,Provides civil contracting for infrastructure projects.,Saudi Arabia,1974," Also known as: Alturuq, Alturuq Ltd. Last updated on: 24 July 2018 ",Al Turuq Company for Trading & Contracting Limited ,700,Private,Construction,"Tel: +966 11-405-0007,Fax: +966 11-465-0003,Email: info@alturuq.com.sa,www.alturuq.com.sa,"
103, ALNour United Est. Building 594 Saudi Arabia Najran 8416 ,Civil contracting for infrastructure projects and installation of water pipelines.,Saudi Arabia,N/A, Also known as: ALNour United Last updated on: 08 October 2018 ,ALNour United Est. ,,Private,Construction,"Tel: +966 17-544-2392,Fax: +966 17-544-2394,Email: info@alnourunited.com,www.alnourunited.com,"
104," Queen Bluilding Al Khurmah Street 12th Floor, Office 1201 Al Khurmah Industrial Area 730 Saudi Arabia Jeddah 21421 ",Manufacture of leather luggage.,Saudi Arabia,2002, Also known as: ILMC Last updated on: 25 March 2019 ,International Luggage Manufacturing Company ,30,Private,Consumer Goods,"Tel: +966 12-645-0787,Fax: +966 12-644-8109,Email: om@omasu.com,"
105, Tender Loving Care Center Building King Abdul Aziz Street Al Shatea Area 23621 Saudi Arabia Jeddah 21436 ,Ownership and operation of a physiotherapy medical center.,Saudi Arabia,1996, Also known as: TLC Last updated on: 08 October 2018 ,Tender Loving Care Center ,15,Private,Health Care,"Tel: +966 12-655-4878,Tel: +966 12-655-4882,Fax: +966 12-655-3696,"
106, Al-Madeenah for Commerce Activities Company Limited Building Jeddah Industrial Zone 4 17610 Saudi Arabia Jeddah 21494 ,"Holding company with activities in provides quality management training services; distribution of pumps, seals and valves; provides tires retraeting services.",Saudi Arabia,1995, Also known as: MCA Last updated on: 21 January 2019 ,Al-Madeenah for Commerce Activities Company Limited ,225,Private,Education,"Tel: +966 12-635-5523,Fax: +966 12-635-5223,Email: info@almadeenah.com,www.mca-co.com,"
107," Al Said Business Center 2 Prince Faisal Bin Fahd Road 4th Floor, Office 2 4993 Saudi Arabia Al Khobar 31952 ",Provides life and non-life insurance services.,Saudi Arabia,1980, Last updated on: 31 July 2018 ,Al-Sabil Insurance Agency ,90,Private,Financial Services,"Tel: +966 13-887-8011,Fax: +966 13-882-3055,Email: info@alsabilasia.com,www.alsabilasia.com,"
108," Mohammed Majid Building Palestine Street Ground Floor, Office G1 Mushrifah Area 54640 Saudi Arabia Jeddah 21524 ",Manufacture of industrial machinery including elevators and escalators.,Saudi Arabia,1987, Last updated on: 16 April 2019 ,Al Patra Elevators ,35,Private,Industrial Manufacturing,"Tel: +966 12-665-3395,Tel: +966 12-668-7039,Tel: +966 12-668-7038,Fax: +966 12-665-0436,Email: elevators@alpatra.com,"
109, Western Bakeries Company Limited Building 33787 Saudi Arabia Jeddah 21458 ,Production of bread and pies.,Saudi Arabia,1996, Also known as: Western Bakeries Last updated on: 04 July 2018 ,Western Bakeries Company Limited ,,Private,Food and Beverages,"Tel: +966 12-636-6328,Fax: +966 12-636-2523,Fax: +966 12-637-7596,Email: info@westbake.com,"
110," Al Farsi Centre Al Masoudi Street 11th Floor, Office 1104 Al Hamra Area 9446 Saudi Arabia Jeddah 21413 ",Provides travel agency services.,Saudi Arabia,1996, Also known as: Najd Group Last updated on: 13 August 2018 ,Najd Group Company ,50,Private,Leisure and Tourism,"Tel: +966 12-650-1921,Fax: +966 12-650-2023,Email: sales@najdgroup.com,www.najdgroup.com,"
111, Al-Hazem International Company Limited Building 123 Bin Majah Street 12356 Saudi Arabia Jeddah 21473 ,"Provides industrial floor treatment, epoxy coatings and thermal waterproofing insulation works.",Saudi Arabia,1990, Also known as: Al-Hazem Last updated on: 18 September 2017 ,Al-Hazem International Company Limited ,200,Private,Construction,"Tel: +966 12-664-4100,Fax: +966 12-663-7791,Email: info@alhazem-co.com,"
112, Almerquat Contracting Company Building Abdulrahman Ghaafiqi Street Al Rawdah Area 9370 Saudi Arabia Riyadh 11413 ,Provides civil contracting for residential and commercial buildings.,Saudi Arabia,2002," Also known as: Almerquat, Almerquat Contracting Last updated on: 08 May 2017 ",Almerquat Contracting Company ,20,Private,Construction,"Tel: +966 11-497-3316,Fax: +966 11-497-3315,Email: info@almerquat.com,"
113, Al Nokhba Building Hail Street 3rd and 6th Floor Al Jawhara Area 30482 Saudi Arabia Jeddah 21477 ,"Provides civil contracting for buildings and heavy projects. Through its main subsidiaries; it provides mining of natural silica sand, crushed quartz sand and silica flour; provides freight forwarding services; distribution of spare parts and accessories.",Saudi Arabia,1985, Also known as: Marbaie Group Last updated on: 24 September 2018 ,Al Marbaie Group ,200,Private,Construction,"Tel: +966 12-651-9770,Tel: +966 12-623-0777,Fax: +966 12-651-9722,Fax: +966 12-620-2779,Email: info@almarbaie.com,www.asamco.sa,"
114, Gurabi Bin Shaihon Center Asad Ibn Al Furat Street Ground Floor Al Ghorabi Area 23521 Saudi Arabia Riyadh 11426 ,"Distribution of switchgear, power distribution components, control panel, wiring accessories, breakers, panel boards and industrial automated control systems.",Saudi Arabia,1997," Also known as: Al Wessam, Anwar Al Wessam Last updated on: 25 March 2019 ",Anwar Al Wessam for Electrical System Establishment ,45,Private,Industrial Manufacturing,"Tel: +966 11-405-5942,Fax: +966 11-405-1631,Email: info@al-wessam.com,"
115, Al Mansouryah General Contracting Company Limited Building King Abdullah Street Al Muhammadiyah Area 7644 Saudi Arabia Riyadh 11472 ,"Provides civil contracting for commercial and residential buildings; manufacture, installation and maintenance of commercial furniture and aluminum structures. Through its main subsidiaries; it provides distribution of medical equipment and devices.",Saudi Arabia,1975," Also known as: AMC, Al Mansouryah, Al Mansouryah General Contracting Last updated on: 14 July 2017 ",Al Mansouryah General Contracting Company Limited ,,Private,Construction,"Tel: +966 11-488-7449,Tel: +966 11-488-7491,Fax: +966 11-482-3362,Email: amc@almansouryah.com,https://www.almansouryah.com,"
116, Zahid Tractor & Heavy Machinery Company Ltd. - Medina Building Tabuk Road 2861 Saudi Arabia Medina 11426 ,"Distribution, leasing, repair and maintenance of tractor, power generators, compressors, cranes, pumps, hammer and concrete mixture machines; distribution and maintenance trucks and buses.",Saudi Arabia,1988, Also known as: Zahid Tractor Medina Last updated on: 10 September 2018 ,Zahid Tractor & Heavy Machinery Company Ltd. - Medina ,25,Private,Transport,"Tel: +966 14-861-5966,Fax: +966 14-861-5667,Email: info@zahid.com,https://zahidtractor.com,"
